Provinsi,Tahun,AHH,RLS,Persen_Miskin,Persen_Keluhan
ACEH,2015,69.54,9.32,17.11,27.9144
ACEH,2016,69.565,9.36,16.43,25.7718
ACEH,2017,69.585,9.42,15.92,24.8504
ACEH,2018,69.7,9.46,15.68,30.1731
ACEH,2019,69.915,9.59,15.32,29.3307
ACEH,2020,69.975,9.71,14.99,27.1183
ACEH,2021,70.005,9.77,15.33,25.1568
ACEH,2022,70.21,9.79,14.64,31.6287
ACEH,2023,70.385,9.89,14.45,27.6961
ACEH,2024,70.485,9.95,12.64,25.5704
BALI,2015,71.4,8.8,5.25,35.2982
BALI,2016,71.435,8.84,4.15,31.1856
BALI,2017,71.465,8.93,4.14,28.9053
BALI,2018,71.685,9.0,3.91,30.3336
BALI,2019,72.0,9.19,3.79,28.5297
BALI,2020,72.155,9.31,3.78,25.4874
BALI,2021,72.28,9.45,4.53,23.6268
BALI,2022,72.61,9.74,4.57,20.0312
BALI,2023,73.03,9.74,4.25,22.6417
BALI,2024,73.34,9.87,3.8,19.3344
BANTEN,2015,69.475,8.7,5.75,30.3604
BANTEN,2016,69.49,8.79,5.36,28.3115
BANTEN,2017,69.52,8.87,5.59,27.5341
BANTEN,2018,69.67,8.93,5.25,32.4418
BANTEN,2019,69.89,9.07,5.09,34.3267
BANTEN,2020,70.005,9.22,5.92,32.2638
BANTEN,2021,70.07,9.29,6.66,28.4253
BANTEN,2022,70.41,9.46,6.16,23.6543
BANTEN,2023,70.82,9.48,6.17,27.0357
BANTEN,2024,71.065,9.55,5.7,25.7884
BENGKULU,2015,68.54,8.74,17.16,27.9758
BENGKULU,2016,68.555,8.82,17.03,27.6591
BENGKULU,2017,68.575,8.91,15.59,24.8532
BENGKULU,2018,68.825,8.94,15.41,27.096
BENGKULU,2019,69.205,9.08,15.23,29.7496
BENGKULU,2020,69.37,9.2,15.03,30.2628
BENGKULU,2021,69.47,9.26,15.22,26.6493
BENGKULU,2022,69.71,9.28,14.62,27.1075
BENGKULU,2023,69.965,9.35,14.04,27.8322
BENGKULU,2024,70.18,9.4,12.52,28.2907
DI YOGYAKARTA,2015,74.72,9.59,13.16,39.5752
DI YOGYAKARTA,2016,74.73,9.62,13.1,35.9628
DI YOGYAKARTA,2017,74.76,9.68,12.36,32.886
DI YOGYAKARTA,2018,74.84,9.73,11.81,35.3037
DI YOGYAKARTA,2019,74.945,9.83,11.7,35.6569
DI YOGYAKARTA,2020,75.025,9.95,12.28,38.0479
DI YOGYAKARTA,2021,75.08,10.04,12.8,30.1952
DI YOGYAKARTA,2022,75.105,10.07,11.34,35.7828
DI YOGYAKARTA,2023,75.215,10.16,11.04,26.9477
DI YOGYAKARTA,2024,75.53,10.23,10.4,28.7989
DKI JAKARTA,2015,72.48,10.9,3.61,33.3965
DKI JAKARTA,2016,72.565,10.92,3.75,30.4626
DKI JAKARTA,2017,72.595,10.97,3.78,27.0493
DKI JAKARTA,2018,72.715,11.06,3.55,28.8324
DKI JAKARTA,2019,72.82,11.11,3.47,29.2887
DKI JAKARTA,2020,72.95,11.17,4.53,33.7991
DKI JAKARTA,2021,73.06,11.2,4.72,25.9785
DKI JAKARTA,2022,73.335,11.3,4.69,16.1053
DKI JAKARTA,2023,73.745,11.42,4.44,20.9384
DKI JAKARTA,2024,74.18,11.49,4.14,24.0608
GORONTALO,2015,67.17,7.58,18.16,37.4349
GORONTALO,2016,67.19,7.71,17.63,33.6898
GORONTALO,2017,67.21,7.77,17.14,34.4337
GORONTALO,2018,67.52,7.83,15.83,36.9478
GORONTALO,2019,67.975,8.11,15.52,36.974
GORONTALO,2020,68.115,8.26,15.22,32.1978
GORONTALO,2021,68.24,8.32,15.61,31.059
GORONTALO,2022,68.545,8.39,15.42,36.5499
GORONTALO,2023,68.885,8.48,15.15,35.3495
GORONTALO,2024,69.14,8.64,13.87,33.8037
JAMBI,2015,70.605,8.43,9.12,24.4714
JAMBI,2016,70.655,8.55,8.37,23.6911
JAMBI,2017,70.71,8.61,7.9,20.6275
JAMBI,2018,70.845,8.7,7.85,22.4356
JAMBI,2019,71.04,8.86,7.6,21.431
JAMBI,2020,71.17,8.97,7.58,21.6574
JAMBI,2021,71.26,9.03,8.09,16.8479
JAMBI,2022,71.53,9.07,7.62,26.1031
JAMBI,2023,71.82,9.16,7.58,24.385
JAMBI,2024,72.09,9.26,7.26,23.7441
JAWA BARAT,2015,72.45,8.31,9.57,28.1184
JAWA BARAT,2016,72.48,8.41,8.77,28.3401
JAWA BARAT,2017,72.5,8.46,7.83,29.2724
JAWA BARAT,2018,72.69,8.61,7.25,31.0531
JAWA BARAT,2019,72.92,8.79,6.91,33.1218
JAWA BARAT,2020,73.15,8.96,7.88,32.0622
JAWA BARAT,2021,73.38,9.03,8.4,29.7494
JAWA BARAT,2022,73.625,9.14,8.06,31.2422
JAWA BARAT,2023,74.1,9.16,7.62,25.2846
JAWA BARAT,2024,74.41,9.24,7.08,28.9125
JAWA TENGAH,2015,74.0,7.57,13.32,35.5163
JAWA TENGAH,2016,74.045,7.7,13.19,33.3827
JAWA TENGAH,2017,74.09,7.77,12.23,32.7124
JAWA TENGAH,2018,74.19,7.84,11.19,34.3388
JAWA TENGAH,2019,74.245,8.03,10.8,36.8166
JAWA TENGAH,2020,74.405,8.19,11.41,35.6167
JAWA TENGAH,2021,74.515,8.26,11.79,29.7977
JAWA TENGAH,2022,74.62,8.38,10.93,35.027
JAWA TENGAH,2023,74.785,8.44,10.77,30.1454
JAWA TENGAH,2024,75.1,8.47,9.58,31.8464
JAWA TIMUR,2015,70.73,7.71,12.28,33.4319
JAWA TIMUR,2016,70.74,7.78,11.85,29.8596
JAWA TIMUR,2017,70.76,7.87,11.2,31.4635
JAWA TIMUR,2018,70.93,7.93,10.85,33.7819
JAWA TIMUR,2019,71.225,8.11,10.37,35.5725
JAWA TIMUR,2020,71.345,8.31,11.09,32.786
JAWA TIMUR,2021,71.43,8.37,11.4,28.5386
JAWA TIMUR,2022,71.76,8.5,10.38,32.0532
JAWA TIMUR,2023,72.16,8.53,10.35,27.2866
JAWA TIMUR,2024,72.395,8.69,9.56,28.7298
KALIMANTAN BARAT,2015,69.92,7.41,8.44,25.6502
KALIMANTAN BARAT,2016,69.94,7.49,8.0,24.9505
KALIMANTAN BARAT,2017,69.95,7.57,7.86,24.517
KALIMANTAN BARAT,2018,70.21,7.65,7.37,28.7081
KALIMANTAN BARAT,2019,70.61,7.8,7.49,27.5383
KALIMANTAN BARAT,2020,70.735,7.9,7.17,25.8628
KALIMANTAN BARAT,2021,70.805,8.0,7.15,21.3411
KALIMANTAN BARAT,2022,71.04,8.1,6.73,25.2244
KALIMANTAN BARAT,2023,71.365,8.17,6.71,26.2692
KALIMANTAN BARAT,2024,71.6,8.28,6.25,24.3902
KALIMANTAN SELATAN,2015,67.84,8.14,4.72,39.2853
KALIMANTAN SELATAN,2016,67.88,8.28,4.52,34.3719
KALIMANTAN SELATAN,2017,67.965,8.37,4.7,33.4715
KALIMANTAN SELATAN,2018,68.175,8.45,4.65,33.2842
KALIMANTAN SELATAN,2019,68.5,8.59,4.55,35.1032
KALIMANTAN SELATAN,2020,68.69,8.69,4.38,34.9096
KALIMANTAN SELATAN,2021,68.88,8.74,4.83,32.0327
KALIMANTAN SELATAN,2022,69.18,8.89,4.49,31.5326
KALIMANTAN SELATAN,2023,69.47,8.95,4.29,27.7639
KALIMANTAN SELATAN,2024,69.695,9.02,4.02,29.0159
KALIMANTAN TENGAH,2015,69.58,8.4,5.91,25.4453
KALIMANTAN TENGAH,2016,69.585,8.52,5.36,25.5239
KALIMANTAN TENGAH,2017,69.595,8.59,5.26,25.75
KALIMANTAN TENGAH,2018,69.645,8.66,5.1,28.2412
